"","date","id","deaths","new_deaths","confirmed","new_confirmed","population","administrative_area_level","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","cs","series","p2.5_signal","p97.5_signal","mean_signal","p2.5_position","p97.5_position","mean_position","p2.5_growth_rate","p97.5_growth_rate","p25_growth_rate","p75_growth_rate","growth_rate","percentile_0_growth_rate","dispersion","z_score_growth_rate","country","state","county","deaths_pc"
"3046",2020-04-04,"f44d4296",0,0,174,3,107038,2,"Sweden","Örebro",NA,174,3,8.03363708368798,17.5564722658153,11.8761242269266,2.51398818316676,3.09954396007127,2.80676607161902,0.0429917924531444,0.128930005263039,0.071173779261084,0.1007480184551,0.0859608988580919,4.40979475003677e-05,1.05133932740304,3.92096275525877,"Sweden","Örebro",NA,0
"3047",2020-04-05,"f44d4296",0,0,174,0,107038,2,"Sweden","Örebro",NA,174,0,5.67026482947399,12.7015575363372,8.4865302083851,2.6017670255,3.18368691545423,2.89272697047711,0.04043724354238,0.12615345020301,0.068546427179701,0.0980442665656893,0.0832953468726952,6.97033622831993e-05,1.05133932740304,3.80921849695519,"Sweden","Örebro",NA,0
"3048",2020-04-06,"f44d4296",0,0,186,12,107038,2,"Sweden","Örebro",NA,186,12,11.0969513803525,23.9921535362584,16.3168551290318,2.68670706315997,3.26533757153964,2.97602231734981,0.0370514649850317,0.122573431753076,0.0650969509270964,0.0945279458110114,0.0798124483690539,0.000126981406919185,1.05133932740304,3.65823028241578,"Sweden","Örebro",NA,0
"3049",2020-04-07,"f44d4296",0,0,259,73,107038,2,"Sweden","Örebro",NA,259,73,26.0538820887898,54.8217466217676,37.7931121024063,2.76799227345938,3.34367725797834,3.05583476571886,0.0327133373321242,0.118058750237912,0.0607009254141531,0.0900711621558834,0.0753860437850183,0.000267598305509781,1.05133932740304,3.46249261032223,"Sweden","Örebro",NA,0
"3050",2020-04-08,"f44d4296",0,0,296,37,107038,2,"Sweden","Örebro",NA,296,37,19.6459642652218,41.6341733197384,28.5997112092348,2.84467747766626,3.4177641413415,3.13122080950388,0.0279121827716843,0.113090812514705,0.0558450771297083,0.085157918156681,0.0705014976431947,0.000588315927623613,1.05133932740304,3.24448506987445,"Sweden","Örebro",NA,0
"3051",2020-04-09,"f44d4296",0,0,306,10,107038,2,"Sweden","Örebro",NA,306,10,24.2817598821426,51.1540599644017,35.2435895029483,2.91631151480746,3.48713309948669,3.20172230714707,0.0227984379451375,0.10781847934388,0.0506793259316045,0.0799375913574131,0.0653084586445088,0.00130148495232713,1.05133932740304,3.01110713952096,"Sweden","Örebro",NA,0
"3052",2020-04-10,"f44d4296",0,0,313,7,107038,2,"Sweden","Örebro",NA,313,7,20.1438969283317,42.6793256485927,29.3211175918647,2.98259864892464,3.55146288265852,3.26703076579158,0.0169997407685871,0.101871512560574,0.0448320062393536,0.0740392470898071,0.0594356266645803,0.00302441950969535,1.05133932740304,2.74512208715654,"Sweden","Örebro",NA,0
"3053",2020-04-11,"f44d4296",0,0,326,13,107038,2,"Sweden","Örebro",NA,326,13,13.6083801450866,29.3054904523533,19.9699838360934,3.04287843707423,3.61005434783809,3.32646639245616,0.0101245774293178,0.0948639609217953,0.0379134283911215,0.0670751099599917,0.0524942691755566,0.00758462093739222,1.05133932740304,2.42831308745539,"Sweden","Örebro",NA,0
"3054",2020-04-12,"f44d4296",0,0,401,75,107038,2,"Sweden","Örebro",NA,401,75,9.28679959139051,20.5083852606085,13.8006254879371,3.09610413314981,3.66181719011363,3.37896066163172,0.0019992122121897,0.0866273637549576,0.0297515865329644,0.058874989434183,0.0443132879835737,0.020057326467211,1.05133932740304,2.05256636003597,"Sweden","Örebro",NA,0
"3055",2020-04-13,"f44d4296",0,0,422,21,107038,2,"Sweden","Örebro",NA,422,21,17.4494759718329,37.3222964337515,25.5196887683681,3.14105280141669,3.70549509781389,3.42327394961529,-0.00531735382587838,0.0792194768912854,0.0224050733710463,0.0514970496943607,0.0369510615327035,0.0433193861158411,1.05133932740304,1.71340111003045,"Sweden","Örebro",NA,0
"3056",2020-04-14,"f44d4296",0,0,475,53,107038,2,"Sweden","Örebro",NA,475,53,39.1914640306968,81.8243809735069,56.6287672809255,3.17854704696866,3.74190297532733,3.460225011148,-0.0119104780057334,0.072547149533387,0.015785975845391,0.0448506956822625,0.0303183357638268,0.0796894533155839,1.05133932740304,1.40716351855299,"Sweden","Örebro",NA,0
